"Item type","Authors","Title","Publication year","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","URLs","DOI","Abstract","Keywords","Sub-type","Series"
"Conference Paper","Murthy MK,Sanjay HA,Ashwini JP","Pricing Models and Pricing Schemes of IaaS Providers: A Comparison Study","2012","143–147","Association for Computing Machinery","New York, NY, USA","Proceedings of the International Conference on Advances in Computing, Communications and Informatics","Chennai, India","2012","9781450311960","https://doi.org/10.1145/2345396.2345421;http://dx.doi.org/10.1145/2345396.2345421","10.1145/2345396.2345421","""Cloud Computing"" is one of the most significant advances in information technology since the rise of the global Internet network. The cost effectiveness of the cloud computing is one of the reason for its popularity. The cost can be further reduced by the customer by carefully selecting the cloud service provider, according to his/her requirement.This work is an attempt to list the different pricing models and pricing schemes used by some of the popular IaaS providers and also to understand how the price varies for the same requirement in different IaaS providers. This survey helps the customers to understand the different pricing models and to choose the better IaaS provider depending on his/her requirement.","storage space, cloud computing, IaaS, pricing models","","ICACCI '12"
"Conference Paper","Kandi MM,Yin S,Hameurlain A","An Integer Linear-Programming Based Resource Allocation Method for SQL-like Queries in the Cloud","2018","161–166","Association for Computing Machinery","New York, NY, USA","Proceedings of the 33rd Annual ACM Symposium on Applied Computing","Pau, France","2018","9781450351911","https://doi.org/10.1145/3167132.3167148;http://dx.doi.org/10.1145/3167132.3167148","10.1145/3167132.3167148","Cloud computing has emerged as a paradigm for delivering Information Technology services over Internet. Services are provided according to a pricing model and meet requirements that are specified in Service Level Agreements (SLA). Recently, most of cloud providers include services for DataBase (DB) querying dedicated to run on MapReduce platform and a virtualized architecture. Classical resource allocation methods for query optimization need to be revised to handle the pricing models in cloud environnements. In this work, we propose a resource allocation method for the query optimization in the cloud based on Integer Linear-Programming (ILP). The proposed linear models can be implemented in any fast solver for ILP. The method is compared with some existing greedy algorithms. Experimental evaluation shows that the solution offers a good trade-off between the allocation quality and allocation cost.","integer linear-programming, query optimization, mapreduce, PaaS, cloud computing, resource allocation","","SAC '18"
"Conference Paper","Ma D,Huang J","The Pricing Model of Cloud Computing Services","2012","263–269","Association for Computing Machinery","New York, NY, USA","Proceedings of the 14th Annual International Conference on Electronic Commerce","Singapore, Singapore","2012","9781450311977","https://doi.org/10.1145/2346536.2346586;http://dx.doi.org/10.1145/2346536.2346586","10.1145/2346536.2346586","Cloud computing service providers offer computing resource as a utility and software as a service over network. Many believe that Cloud computing is making an industry-wise paradigm shift for IT use. Besides its technique issues, the business feature of Cloud computing attracts our interests. Specifically the practice of Amazon EC2 introduces an interesting pricing scheme. Amazon provides users with virtual computing instances as a combination of interruptible service (i.e., spot instance) and uninterruptible service (i.e., on-demand and reserved instance). Spot instance is charged at a per use price which is dynamically changing over time; users of spot instance face the risk of service termination on the provider's side. In this paper, we build a multiple-stage game to study users' best job submission strategy under such a mixed pricing scheme, and to analyze the potential benefits and influence of such pricing scheme. We identify user-segments that will take different job submission strategies, and show that users should reserve resource for future high-value job arrivals. We also conduct numerical investigations to demonstrate how the outcome and best strategy vary according to the external market conditions.","pricing model, multi-stage game, cloud computing","","ICEC '12"
"Conference Paper","Konstantinos K,Persefoni M,Evangelia F,Christos M,Mara N","Cloud Computing and Economic Growth","2015","209–214","Association for Computing Machinery","New York, NY, USA","Proceedings of the 19th Panhellenic Conference on Informatics","Athens, Greece","2015","9781450335515","https://doi.org/10.1145/2801948.2802000;http://dx.doi.org/10.1145/2801948.2802000","10.1145/2801948.2802000","Cloud computing, is a rapidly evolving type of internet- based computing model that relies on sharing computing resources, rather than having local servers or personnel to handle them. It has already been adopted by a significant number of Small and Medium Enterprises (SMEs) as a business advantage able to improve their business environment and help them be more efficient and productive. Due to its beneficial characteristics, as flexibility of cost and scalability, cloud computing has the potential to transform the global ICT market techniques and contribute to the boost of economic growth. The provision of cloud computing services is a new and very promising business model and cloud service providers are already enjoying growing profits.This paper seeks to highlight the economic benefits of cloud computing adoption, its impact on the economic growth of a country, and to explore its diffusion using evidence from the European area. Another main objective is the demonstration of the economic benefits an SME can achieve by adopting cloud services instead of proprietary infrastructures. A case study of a new company entering the market is considered and the corresponding calculations are based on a software tool developed by our research team for the calculation of the total cost of ownership (TCO). Results, will reveal the economic benefits of the cloud and its contribution to the economic growth.","cloud computing, economic growth, cloud provider, total cost of ownership, ICT market","","PCI '15"
"Conference Paper","Lee YC,Wang C,Zomaya AY,Zhou BB","Profit-Driven Service Request Scheduling in Clouds","2010","15–24","IEEE Computer Society","USA","Proceedings of the 2010 10th IEEE/ACM International Conference on Cluster, Cloud and Grid Computing","","2010","9780769540399","https://doi.org/10.1109/CCGRID.2010.83;http://dx.doi.org/10.1109/CCGRID.2010.83","10.1109/CCGRID.2010.83","A primary driving force of the recent cloud computing paradigm is its inherent cost effectiveness. As in many basic utilities, such as electricity and water, consumers/clients in cloud computing environments are charged based on their service usage, hence the term ‘pay-per-use’. While this pricing model is very appealing for both service providers and consumers, fluctuating service request volume and conflicting objectives (e.g., profit vs. response time) between providers and consumers hinder its effective application to cloud computing environments. In this paper, we address the problem of service request scheduling in cloud computing systems. We consider a three-tier cloud structure, which consists of infrastructure vendors, service providers and consumers, the latter two parties are particular interest to us. Clearly, scheduling strategies in this scenario should satisfy the objectives of both parties. Our contributions include the development of a pricing model—using processor-sharing—for clouds, the application of this pricing model to composite services with dependency consideration (to the best of our knowledge, the work in this study is the first attempt), and the development of two sets of profit-driven scheduling algorithms.","cloud computing, mashup services, scheduling, processor-sharing, market-based resource allocation","","CCGRID '10"
"Conference Paper","Bhattacharya K,Bichler M,Tai S","ICSE Cloud 09: First International Workshop on Software Engineering Challenges for Cloud Computing","2009","482–483","IEEE Computer Society","USA","Proceedings of the 2009 31st International Conference on Software Engineering: Companion Volume","","2009","9781424434954","https://doi.org/10.1109/ICSE-COMPANION.2009.5071073;http://dx.doi.org/10.1109/ICSE-COMPANION.2009.5071073","10.1109/ICSE-COMPANION.2009.5071073","Cloud Computing has emerged as a new paradigm for deploying, managing and offering services through a shared infrastructure. The projected benefits of cloud computing are very compelling both from a cloud consumer as well as a cloud services provider perspective: ease of deployment of services; low capital expenses and constant operational expenses leading to variable pricing schemes and reduced opportunity costs; leveraging the economies of scale for both services providers and users of the cloud. However, the actual realization of these perceived benefits are far from being well-achieved and pose a broad range of interesting questions.","","","ICSE '09 COMPANION"
"Conference Paper","Liu J,Goraczko M,James S,Belady C,Lu J,Whitehouse K","The Data Furnace: Heating up with Cloud Computing","2011","15","USENIX Association","USA","Proceedings of the 3rd USENIX Conference on Hot Topics in Cloud Computing","Portland, OR","2011","","","","In this paper, we argue that servers can be sent to homes and office buildings and used as a primary heat source. We call this approach the Data Furnace or DF. Data Furances have three advantages over traditional data centers: 1) a smaller carbon footprint 2) reduced total cost of ownership per server 3) closer proximity to the users. From the home owner's perspective, a DF is equivalent to a typical heating system: a metal cabinet is shipped to the home and added to the ductwork or hot water pipes. From a technical perspective, DFs create new opportunities for both lower cost and improved quality of service, if cloud computing applications can exploit the differences in the cost structure and resource profile between Data Furances and conventional data centers.","","","HotCloud'11"
"Conference Paper","Mihailescu M,Teo YM","Dynamic Resource Pricing on Federated Clouds","2010","513–517","IEEE Computer Society","USA","Proceedings of the 2010 10th IEEE/ACM International Conference on Cluster, Cloud and Grid Computing","","2010","9780769540399","https://doi.org/10.1109/CCGRID.2010.123;http://dx.doi.org/10.1109/CCGRID.2010.123","10.1109/CCGRID.2010.123","Current large distributed systems allow users to share and trade resources. In cloud computing, users purchase different types of resources from one or more resource providers using a fixed pricing scheme. Federated clouds, a topic of recent interest, allows different cloud providers to share resources for increased scalability and reliability. However, users and providers of cloud resources are rational and maximize their own interest when consuming and contributing shared resources. In this paper, we present a dyanmic pricing scheme suitable for rational users requests containing multiple resource types. Using simulations, we compare the efficiency of our proposed strategy-proof dynamic scheme with fixed pricing, and show that user welfare and the percentage of successful requests is increased by using dynamic pricing.","","","CCGRID '10"
"Conference Paper","Dietrich J,Tandler J,Sui L,Meyer M","The PrimeGame Revolutions: A Cloud-Based Collaborative Environment for Teaching Introductory Programming","2015","8–12","Association for Computing Machinery","New York, NY, USA","Proceedings of the ASWEC 2015 24th Australasian Software Engineering Conference","Adelaide, SA, Australia","2015","9781450337960","https://doi.org/10.1145/2811681.2811683;http://dx.doi.org/10.1145/2811681.2811683","10.1145/2811681.2811683","The PrimeGame is an established mathematical programming game that has been used successfully in undergraduate computer science teaching since 2003. To meet the increasing demand for innovative programming tools in undergraduate tertiary and secondary education, we have created SoGaCo, a novel platform to deliver the PrimeGame and similar games to a wide audience via standard web browsers. SoGaCo is designed to have a very low total cost of ownership. This is achieved by enabling teachers to provision a customised collaborative development environment on commodity cloud computing infrastructure. Amongst the unique features of the platform are its social networking features and support for polyglot programming.In this paper, we describe the requirements for this system, its design and implementation. We focus on how the scalability and security challenges of an open web-based development environment are addressed. This includes a discussion of the sandboxing and verification techniques we have developed in order to safeguard server-side code execution on the Java Virtual Machine.","","","ASWEC ' 15 Vol. II"
"Conference Paper","Konstantinou I,Floros E,Koziris N","Public vs Private Cloud Usage Costs: The StratusLab Case","2012","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2nd International Workshop on Cloud Computing Platforms","Bern, Switzerland","2012","9781450311618","https://doi.org/10.1145/2168697.2168700;http://dx.doi.org/10.1145/2168697.2168700","10.1145/2168697.2168700","Cloud computing claims to offer multiple advantages comparing to ""traditional"" computing infrastructures. These include among others: energy efficiency, reduction of the overall administration costs, better utilization of hardware resources by co-hosting multiple services environments, etc. This paper reports on the experience gained during the provision of an IaaS cloud service in the context of the StratusLab project and provides quantitative economic analysis of the total cost of ownership of such infrastructure by calculating the infrastructure, maintenance and operational cost. The analysis continues with the cost comparison of the private cloud against the popular Amazon's EC2 public cloud service by utilizing the collected StratusLab usage traces for a period of one year. It is shown that with an average utilization of 70%, a small cluster of 20 machines could amortize its total cost in a period of 2-3 years while offering the same rates compared to Amazon cloud if it were offered on a pay-as-you go basis.","","","CloudCP '12"
