Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Impact of Cloud Computing Technologies on Pricing Models of Software Firms – Insights from Finland","Software Business. Towards Continuous Value Delivery","","","","10.1007/978-3-319-08738-2_17","Gabriella LaatikainenEetu Luoma","2014","http://link.springer.com/chapter/10.1007/978-3-319-08738-2_17","Chapter"
"A Novel Approach to Dynamic Pricing for Cloud Computing Through Price Band Prediction","ICWE 2021 Workshops","","","","10.1007/978-3-030-92231-3_5","Dheeraj RaneVaishali ChoureyIshan Indraniya","2022","http://link.springer.com/chapter/10.1007/978-3-030-92231-3_5","Chapter"
"Dynamic Pricing Strategy for Cloud Computing with Data Mining Method","High Performance Computing","","","","10.1007/978-3-642-41591-3_4","Xing WuJi HouShaojian ZhuoWu Zhang","2013","http://link.springer.com/chapter/10.1007/978-3-642-41591-3_4","Chapter"
"Analyzing the Applicability of Airline Booking Systems for Cloud Computing Offerings","Data Driven e-Science","","","","10.1007/978-1-4419-8014-4_26","Johannes WatzlNils gentschen FeldeDieter Kranzlmuller","2011","http://link.springer.com/chapter/10.1007/978-1-4419-8014-4_26","Chapter"
"An Economic Model for Utilizing Cloud Computing Resources via Pricing Elasticity of Demand and Supply","Cloud Computing and Services Sciences","","","","10.1007/978-3-319-25414-2_4","Soheil QanbariFei LiSchahram DustdarTian-Shyr Dai","2015","http://link.springer.com/chapter/10.1007/978-3-319-25414-2_4","Chapter"
"Enabling Virtual Manufacturing Enterprises with Cloud Computing: An Analysis of Criteria for the Selection of Database as a Service Offers","Advances in Sustainable and Competitive Manufacturing Systems","","","","10.1007/978-3-319-00557-7_35","Ronny HansDavid DahlenSebastian ZöllerDieter SchullerUlrich Lampe","2013","http://link.springer.com/chapter/10.1007/978-3-319-00557-7_35","Chapter"
"Decisions, Models and Opportunities in Cloud Computing Economics: A Review of Research on Pricing and Markets","Service Research and Innovation","","","","10.1007/978-3-319-07950-9_7","Sowmya KarunakaranVenkataraghavan KrishnaswamyR. P. Sundarraj","2014","http://link.springer.com/chapter/10.1007/978-3-319-07950-9_7","Chapter"
"MAYA: An Approach for Energy and Cost Optimization for Mobile Cloud Computing Environments","Big Data Analytics","","","","10.1007/978-981-10-6620-7_55","Jitender KumarAmita Malik","2018","http://link.springer.com/chapter/10.1007/978-981-10-6620-7_55","Chapter"
"A Comprehensive Investigation of Workflow Scheduling in Cloud Computing Environment","Ambient Communications and Computer Systems","","","","10.1007/978-981-16-7952-0_14","Nagresh KumarSanjay Kumar Sharma","2022","http://link.springer.com/chapter/10.1007/978-981-16-7952-0_14","Chapter"
"Cloud Computing Providers: Characteristics and Recommendations","E-Technologies: Transformation in a Connected World","","","","10.1007/978-3-642-20862-1_3","Maciej LecznarSusanne Patig","2011","http://link.springer.com/chapter/10.1007/978-3-642-20862-1_3","Chapter"
"Cloud Computing in E-Government across Europe","Technology-Enabled Innovation for Democracy, Government and Governance","","","","10.1007/978-3-642-40160-2_15","Bernd ZwattendorferKlaus StranacherArne TauberPeter Reichstädter","2013","http://link.springer.com/chapter/10.1007/978-3-642-40160-2_15","Chapter"
"Ontology-Based Context-Aware SLA Management for Cloud Computing","Model and Data Engineering","","","","10.1007/978-3-319-11587-0_19","Taher LabidiAchraf MtibaaFaiez Gargouri","2014","http://link.springer.com/chapter/10.1007/978-3-319-11587-0_19","Chapter"
