,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Item type,Title,Publication year,Pages,Address,Proceedings title,Conference location,Date published,ISBN,URLs,Keywords,Sub-type,Series,Journal,Item Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,URL,Content Type
0,A survey of Cloud computing variable pricing models,S. Arshad; S. Ullah; S. A. Khan; M. D. Awan; M. S. H. Khayal,"Department of Computer Engineering, College of EME, National University of Sciences & Technology (NUST), H-12, Islamabad, Pakistan; Faculty of Computer Science, Preston University, Islamabad, Pakistan; Department of Computer Engineering, National University of Sciences & Technology (NUST), Islamabad, Pakistan; Faculty of Computer Science, Preston University, Islamabad, Pakistan; Faculty of Computer Science, Preston University, Islamabad, Pakistan",2015 International Conference on Evaluation of Novel Approaches to Software Engineering (ENASE),5 Nov 2015,2015.0,,,27,32,"Cloud computing has grasped the attention of scientific community and business industry towards the provisioning of computing resources as utility and software as a service over a network. Profitability and revenue maximization are the most important goals for any cloud service provider which can be employed through different pricing models. Historically, cloud providers were following the fixed pricing strategies while provisioning their services to the clients. However, these approaches have their own shortcomings resulting in resource wastage, lack of fairness and user satisfaction. With expansion of cloud users in market every day, provisioning of fair resource allocation with service differentiation and efficient pricing model is demand seeking, resulting in a shift from static to dynamic pricing models. In this paper, we discuss and investigate different pricing scheme with respect to their advantages, limitations and possible future directions. The study will open a way for vendors to seek new research directions in dynamic pricing schemes.",,978-989-758-143-4,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7320330,Cloud Computing;Pricing Models;Service Differentiation;Market-oriented Computing,Cloud computing;Pricing;Computational modeling;Biological system modeling;Dynamic scheduling;Resource management;Numerical models,,,,,,19.0,,5 Nov 2015,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
1,A Pricing Model for Cloud Computing Service,T. Keskin; N. Taskin,"University of Washington, Bothell; Massey University",2014 47th Hawaii International Conference on System Sciences,10 Mar 2014,2014.0,,,699,707,"The major purpose of this study is to examine the cloud services pricing schemes and how they can improve previous pricing models by expanding the consumer set with time inconsistent behavior. The industry of cloud computing services is in its infancy, and firms employ pricing models based on conventional information goods. We offer a new approach to cloud services pricing considering the consumer discounting behavior. First, we propose a baseline model based on a profit maximizing duopolistic market serving to both rational and time inconsistent users. Our results reveal that the firms can profit from impatient users. In addition, we extend the baseline model with the effect of delayed network externalities because, by nature, information goods exhibit this property strongly. For the latter case, we show that the effect of network externalities reduces the impact of low switching costs and the monopolist benefits from time-inconsistent behavior. This study contributes to the theories of pricing information goods, and practitioners who make pricing decisions for cloud computing services.",1530-1605,978-1-4799-2504-9,10.1109/HICSS.2014.94,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6758690,Cloud computing;pricing;hotelling model;switching costs;network externalities;hyperbolic discounting,Switches;Cloud computing;Pricing;Computational modeling;Industries;Standards;Software as a service,cloud computing;consumer behaviour;DP industry;monopoly;oligopoly;pricing,cloud computing service;pricing model;consumer set;consumer discounting behavior;time inconsistent behavior;baseline model;profit maximizing duopolistic market;rational users;time inconsistent users;delayed network externalities;switching costs;monopolist benefits;pricing decision making;information goods pricing,,11.0,,18.0,IEEE,10 Mar 2014,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
2,Price competition in a duopoly IaaS cloud market,X. Li; B. Gu; C. Zhang; K. Yamori; Y. Tanaka,"Global Information and Telecommunication Institute, Waseda University, Tokyo, Japan; Department of Computer Science and Engineering, Waseda University, Tokyo, Japan; Global Information and Telecommunication Institute, Waseda University, Tokyo, Japan; Global Information and Telecommunication Institute, Waseda University, Tokyo, Japan; Research Institute for Science and Engineering, Waseda University, Tokyo, Japan",The 16th Asia-Pacific Network Operations and Management Symposium,29 Dec 2014,2014.0,,,1,4,"Pricing cloud resources plays an important role in leading to the success of cloud computing. Cloud services are priced at different levels in infrastructure-as-a-service (IaaS) cloud market. For example, Amazon EC2 offers its cloud resources with three pricing schemes, the subscription model, pay-as-you-go model and spot pricing model. With more and more IaaS cloud service providers (CSPs) beginning to provide cloud services, they form a competitive market to compete for cloud users. Therefore, how to set optimal prices in order to maximize their revenue in a competitive IaaS cloud computing market while at the same time meeting the cloud users' demand satisfaction is a problem that CSPs should consider. Towards this end, in this paper, we study subscription pricing competition in a duopoly IaaS cloud computing market. First, we analyze whether or not the cloud users choose to use cloud service. Then, we present a game theoretic analysis of a cloud market with two CSPs competing non-cooperatively for cloud users.",,978-4-88552-288-8,10.1109/APNOMS.2014.6996552,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6996552,cloud computing;IaaS;cloud service provider,Pricing;Cloud computing;Computational modeling;Nash equilibrium;Subscriptions;Educational institutions;Monopoly,cloud computing;game theory;oligopoly;pricing,price competition;cloud resource pricing;cloud services;infrastructure-as-a-service cloud market;Amazon EC2;cloud resources;subscription model;pay-as-you-go model;spot pricing model;IaaS cloud service providers;IaaS CSP;competitive IaaS cloud computing market;cloud user demand satisfaction;duopoly IaaS cloud computing market;game theoretic analysis,,1.0,,20.0,,29 Dec 2014,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
3,An Anonymous Authentication System for Pay-As-You-Go Cloud Computing$^*$*,J. Huang; W. Susilo; F. Guo; G. Wu; Z. Zhao; Q. Huang,"Institute of Cybersecurity and Cryptology, School of Computing and Information Technology, University of Wollongong, Keiraville, NSW, Australia; Institute of Cybersecurity and Cryptology, School of Computing and Information Technology, University of Wollongong, Keiraville, NSW, Australia; Institute of Cybersecurity and Cryptology, School of Computing and Information Technology, University of Wollongong, Keiraville, NSW, Australia; School of Cyber Science and Engineering, Southeast University, Nanjing, China; Institute of Cybersecurity and Cryptology, School of Computing and Information Technology, University of Wollongong, Wollongong, Australia; College of Mathematics and Informatics, South China Agricultural University, Guangzhou, China",IEEE Transactions on Dependable and Secure Computing,11 Mar 2022,2022.0,19.0,2,1280,1291,"Cloud computing offers on-demand availability of computing resources over the Internet. To attract users, cloud providers offer their resources as services at reasonable prices and provide various price models to reflect higher level of quality of service (QoS), which are referred as pricing schemes. $k$k-times anonymous authentication ($k$k-TAA) is an attractive approach to construct pricing schemes, providing access controllability, user anonymity and public traceability. In $k$k-TAA schemes, authenticated users are permitted to anonymously access services from a provider at most $k$k times, while the ones whose the number of access times exceeds $k$k can be publicly traced. That is, $k$k-TAA schemes offer a prepaid plan that charges users based on the amount of access times. Alternatively, pay-as-you-go (PAYG) is a pricing strategy that allows users to be charged based on the amount of usage, reducing the costs on unnecessary resources. Adopting $k$k-TAA schemes to PAYG model, the access bound $k$k is decided by the prepayment amount and the service usage is tracked by the number of access times. However, this approach is impractical, since existing $k$k-TAA schemes only allow an one-time access in an authentication. This article aims to bridge this gap in the literature by designing an efficient and secure authentication system for PAYG cloud computing, supporting flexible access controllability, user anonymity and public traceability. To achieve this, we propose a new $k$k-TAA primitive, called $k$k-times anonymous pay-as-you-go authentication ($k$k-TAA-PAYG), that allows users to access services for multiple times in an authentication as long as the number of their access times does not exceed $k$k. We first formalize the definition and security model for $k$k-TAA-PAYG scheme. Subsequently, we present a concrete construction of $k$k-TAA-PAYG scheme, with the computational complexity as $O(1)$O(1) and the constant communicational cost. Finally, comparing with the most efficient $k$k-TAA scheme proposed by Emura et al., the experimental results show that our $k$k-TAA-PAYG scheme is 2.5 to 3 times faster and saves up to 66 percent storage in grant processes. The time cost of an authentication of our $k$k-TAA-PAYG scheme is constant (1.4-2.4 ms), while Emura et al.’s scheme needs more than one second when the number of access time is greater than 1, 000.",1941-0018,,10.1109/TDSC.2020.3007633,"Australian Research Council(grant numbers:ARC LP160101691); Fundamental Research Funds for the Central Universities(grant numbers:3209012003C2,3209012001A1); National Natural Science Foundation of China(grant numbers:U19B2021); Major Program of Guangdong Basic and Applied Research(grant numbers:2019B030302008); National Natural Science Foundation of China(grant numbers:61872152); Science and Technology Program of Guangzhou(grant numbers:201902010081); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9134823,Cloud computing; $k$   k    -TAA; $k$   k    -times;anonymous;authentication;pay-as-you-go,Authentication;Cloud computing;Protocols;Pricing;Computational modeling;Quality of service,,,,3.0,,23.0,IEEE,7 Jul 2020,,,IEEE,IEEE Journals,,,,,,,,,,,,,,,,,,,,,
4,Dynamic placement of virtual machines for cost optimization in multi-cloud environments,J. L. L. Simarro; R. Moreno-Vozmediano; R. S. Montero; I. M. Llorente,"Department de Arquitectura de Computadores y Automatica, Universidad Complutense de Madrid, Madrid, Spain; Department de Arquitectura de Computadores y Automatica, Universidad Complutense de Madrid, Madrid, Spain; Department de Arquitectura de Computadores y Automatica, Universidad Complutense de Madrid, Madrid, Spain; Department de Arquitectura de Computadores y Automatica, Universidad Complutense de Madrid, Madrid, Spain",2011 International Conference on High Performance Computing & Simulation,25 Aug 2011,2011.0,,,1,7,"The number of providers in the cloud computing market is increasing at rapid pace. At the same time, we are observing a fragmentation of the market in terms of pricing schemes, virtual machine offers and value-add features. In the early phase of cloud adoption, the price model was dominated by fixed prices. However, cloud market trend shows that dynamic pricing schemes utilization is being increased. In this plan, prices change according to demand in each cloud provider. In general, it is difficult for users to search cloud prices and decide where to put their resources. In this paper, we propose a scheduling model for optimizing virtual cluster placements across available cloud offers. This scheduler uses some variables such as average prices or cloud prices trends for suggesting an optimal deployment. Also, this scheduler is part of a cloud broker which automates actions and makes them transparent for users. The performance of our model is evaluated in a real-world cloud environment and the results show that user's investment decreases when part of the virtual infrastructure is dynamically distributed among clouds instead of maintaining it in a fixed one.",,978-1-61284-383-4,10.1109/HPCSim.2011.5999800,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5999800,Cloud Computing;Resource Allocation;Brokering Middleware,Pricing;Dynamic scheduling;Virtual machining;Heuristic algorithms;Computational modeling;Cloud computing;Mathematical model,cloud computing;pricing;scheduling;virtual machines,virtual machine dynamic placement;cost optimization;multicloud environments;cloud computing market;value-add features;cloud adoption;dynamic pricing schemes utilization;scheduling model;virtual cluster placement optimization;average prices trends;cloud prices trends;virtual infrastructure,,63.0,3.0,16.0,IEEE,25 Aug 2011,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
5,Amazon Elastic Compute Cloud (EC2) versus In-House HPC Platform: A Cost Analysis,J. Emeras; S. Varrette; V. Plugaru; P. Bouvry,"Interdisciplinary Centre for Security Reliability and Trust, Luxembourg; Computer Science and Communications (CSC) Research Unit 6, rue Richard Coudenhove-Kalergi, Luxembourg; Computer Science and Communications (CSC) Research Unit 6, rue Richard Coudenhove-Kalergi, Luxembourg; Computer Science and Communications (CSC) Research Unit 6, rue Richard Coudenhove-Kalergi, Luxembourg",IEEE Transactions on Cloud Computing,5 Jun 2019,2019.0,7.0,2,456,468,"While High Performance Computing (HPC) centers continuously evolve to provide more computing power to their users, we observe a wish for the convergence between Cloud Computing (CC) and High Performance Computing (HPC) platforms, with the commercial hope to see Cloud Computing (CC) infrastructures to eventually replace in-house facilities. If we exclude the performance point of view where many previous studies highlight a non-negligible overhead induced by the virtualization layer at the heart of every Cloud middleware when running a HPC workload, the question of the real cost-effectiveness is often left aside with the intuition that, most probably, the instances offered by the Cloud providers are competitive from a cost point of view. In this article, we wanted to assert (or infirm) this intuition by analyzing what composes the Total Cost of Ownership (TCO) of an in-house HPC facility operated internally since 2007. This Total Cost of Ownership (TCO) model is then used to compare with the induced cost that would have been required to run the same platform (and the same workload) over a competitive Cloud IaaS offer. Our approach to address this price comparison is three-fold. First we propose a theoretical price-performance model based on the study of the actual Cloud instances proposed by one of the major Cloud IaaS actors: Amazon Elastic Compute Cloud (EC2). Then, based on the HPC facility TCO analysis we propose a hourly price comparison between our in-house cluster and the equivalent EC2 instances. Finally, based on the experimental benchmarking on the local cluster and on the Cloud instances we propose an update of the former theoretical price model to reflect the real system performance. The results obtained advocate in general for the acquisition of an in-house HPC facility, which balances the common intuition in favor of Cloud Computing platforms, would they be provided by the reference Cloud provider worldwide.",2168-7161,,10.1109/TCC.2016.2628371,AFR-FNR(grant numbers:PDR 2013-2/6542679); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7742995,Computers and information processing;cloud computing/high performance computing;engineering management;economics;costs,Cloud computing;Computational modeling;Benchmark testing;Virtualization;Pricing;Cost benefit analysis;Analytical models,cloud computing;costing;middleware;parallel processing;virtualisation,Amazon elastic compute cloud;in-house HPC platform;cost analysis;in-house facilities;HPC workload;cost-effectiveness;in-house HPC facility;theoretical price-performance model;Cloud IaaS actors;Amazon Elastic Compute Cloud;HPC facility TCO analysis;in-house cluster;high performance computing platforms;cloud middleware;total cost of ownership model;EC2 instances;cloud computing platforms;competitive cloud IaaS,,18.0,,24.0,IEEE,14 Nov 2016,,,IEEE,IEEE Journals,,,,,,,,,,,,,,,,,,,,,
6,Personality-Guided Cloud Pricing via Reinforcement Learning,P. Cong; J. Zhou; M. Chen; T. Wei,"Engineering Research Center of Software/Hardware Co-design Technology and Application (MoE), School of Computer Science and Technology, East China Normal University, Shanghai, China; School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; Engineering Research Center of Software/Hardware Co-design Technology and Application (MoE), School of Computer Science and Technology, East China Normal University, Shanghai, China; Engineering Research Center of Software/Hardware Co-design Technology and Application (MoE), School of Computer Science and Technology, East China Normal University, Shanghai, China",IEEE Transactions on Cloud Computing,7 Jun 2022,2022.0,10.0,2,925,943,"As an efficient commercial computing paradigm, cloud computing provides various computing and storage resources to users in a pay-as-you-go manner. However, existing cloud pricing models and mechanisms are deterministic to some degree, thus, may not work well in a real-world environment where user perceived values with respect to cloud services are dynamically changing and highly personalized. In this article, we develop a reinforcement learning (RL)-based dynamic cloud pricing scheme to optimize both cloud provider’s profit and costs of heterogeneous users with distinct personalities. Specifically, we first propose a novel personality-guided user perceived value prediction scheme to proactively capture the dynamics of the users’ perceived values with respect to cloud services. The prediction scheme models the relationship among user personality, service price, quality of service (QoS), user satisfaction and perceived value in the cloud service market. Second, on the basis of the prediction model, a RL-based cloud pricing mechanism is developed to learn sequential service pricing decision-making for profit and costs optimization. Particularly, the profit and costs optimization problem is modeled as a discrete-time Markov decision process (MDP) that is solved by using Q-learning. Finally, extensive simulation experiments have been conducted to verify our user perceived value prediction scheme and RL-based cloud service pricing mechanism. Simulation results show that our perceived value prediction scheme can achieve up to 87.50 percent prediction accuracy, and our RL-based pricing mechanism can obtain up to 19.39 percent more profit than the state-of-the-art scheme.",2168-7161,,10.1109/TCC.2020.2992461,"National Key Research and Development Program of China(grant numbers:2018YFB210130); ECNU Xinfuzhihua program; Dean's Fund and the Open Research Fund of Engineering Research Center of Software/Hardware Co-design Technology and Application; National Natural Science Foundation of China(grant numbers:61802185,61872147); NSF of Jiangsu Province(grant numbers:BK20180470); Fundamental Research Funds for the Central Universities(grant numbers:30919011233); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9086147,Cloud computing;pricing;user perceived value;personality;reinforcement learning;profit and cost optimization,Pricing;Cloud computing;Computational modeling;Predictive models;Optimization;Biological system modeling;Quality of service,cloud computing;decision theory;learning (artificial intelligence);Markov processes;pricing;profitability;quality of service;storage management,personality-guided cloud pricing;efficient commercial computing paradigm;cloud computing;storage resources;user perceived values;cloud services;reinforcement learning-based dynamic cloud pricing scheme;cloud provider;service price;user satisfaction;cloud service market;RL-based cloud pricing mechanism;sequential service pricing decision-making;cloud provider profit;cost optimization problem;Q-learning;RL-based cloud service pricing mechanism;personality-guided user perceived value prediction scheme;quality of service;discrete-time Markov decision process;extensive simulation experiments;efficiency 87.5 percent;efficiency 19.39 percent,,4.0,,73.0,IEEE,4 May 2020,,,IEEE,IEEE Journals,,,,,,,,,,,,,,,,,,,,,
7,Pay as You Go in the Cloud: One Watt at a Time,K. Teramoto; H. H. Huang,"Yale University, New Haven, CT, USA; George Washington University, Columbia, USA","2012 SC Companion: High Performance Computing, Networking Storage and Analysis",11 Apr 2013,2012.0,,,1546,1547,"Advancements in virtualization have led to the construction of large data centers that host thousands of servers and to the selling of virtual machines (VMs) to consumers under a per-hour rate. This current pricing scheme employed by cloud computing providers ignores the disparities in consumer usage and in its related infrastructural costs of providing the service to different users. We thus propose a new pricing model based on the liable power consumption of the VM, which we correlate to the VM's proportion of CPU and disk I/O usage. We evaluate the fairness and practicality of our accountable power consumption model on various machines and storage types. We then demonstrate the benefits of the proposed pricing model by looking four consumer cases. Our work is undergoing further experimentation and we hope to expand our testing using cloud services.",,978-0-7695-4956-9,10.1109/SC.Companion.2012.318,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6496102,,,cloud computing;power aware computing;pricing;virtual machines;virtualisation,virtualization;data center;virtual machine;pricing scheme;cloud computing;infrastructural cost;VM;CPU;disk I/O usage;power consumption model;cloud service,,,,3.0,IEEE,11 Apr 2013,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
8,Poster: Pay as You Go in the Cloud: One Watt at a Time,K. Teramoto; H. H. Huang,"Yale University, USA; George Washington University, USA","2012 SC Companion: High Performance Computing, Networking Storage and Analysis",11 Apr 2013,2012.0,,,1548,1548,"Advancements in virtualization have led to the construction of large data centers that host thousands of servers and to the selling of virtual machines (VMs) to consumers under a per-hour rate. This current pricing scheme employed by cloud computing providers ignores the disparities in consumer usage and in its related infrastructural costs of providing the service to different users. We thus propose a new pricing model based on the liable power consumption of the VM, which we correlate to the VM's proportion of CPU and disk I/O usage. In the poster, we evaluate the fairness and practicality of our accountable power consumption model on various machines and storage types. We then demonstrate the benefits of the proposed pricing model by looking four consumer cases. Our work is undergoing further experimentation and we hope to expand our testing using cloud services.",,978-0-7695-4956-9,10.1109/SC.Companion.2012.319,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6496103,,,,,,,,4.0,IEEE,11 Apr 2013,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
9,Cloud Pricing Models: A Survey and Position Paper,A. Gohad; N. C. Narendra; P. Ramachandran,"IBM India Software Lab, Bangalore, India; IBM India Software Lab, Bangalore, India; Department of Management Studies, IISc, Bangalore, India",2013 IEEE International Conference on Cloud Computing in Emerging Markets (CCEM),16 Dec 2013,2013.0,,,1,8,"In recent years, cloud computing has emerged as a successful mode of delivery for Software as a Service (SaaS) offerings and more generically anything as a service (XaaS) offerings. Cloud computing is, an evolutionary paradigm shift in the ways computing platforms and services are made available to the consumers, and this has been made possible due to numerous technology enablers, along with changing business strategies. These changes have contributed significantly in achieving the market shift from differentiated to undifferentiated price models, thereby helping the market movements from monopolistic to perfect competition, and resulting in converting traditional enterprise class software tools and hardware platforms into a commodity. This paper, is a survey on pricing strategies and schemes employed in cloud offerings wherein we study various mechanisms currently being used. The literature survey encompasses market trends on cloud pricing with specific focus on emerging market scenario of India. Based on the need of providing flexible pricing, we discuss our position on a revenue framework wherein cloud pricing strategy is a function of periodic resource utilization analysis, and provide details of our revenue generation model that depends on cross over of different pricing schemes.",,978-1-4799-0029-9,10.1109/CCEM.2013.6684430,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6684430,,Pricing;Cloud computing;Computational modeling;Market research;Adaptation models,cloud computing;pricing,cloud pricing models;cloud computing;software as a service;SaaS;XaaS offerings;evolutionary paradigm;business strategies;market movements;software tools;hardware platforms;pricing strategies,,25.0,1.0,19.0,IEEE,16 Dec 2013,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
