Column1;Document Title;Authors;Publication Title;Publication Year;DOI;PDF Link
0;A survey of Cloud computing variable pricing models;"S. Arshad; S. Ullah; S. A. Khan; M. D. Awan; M. S. H. Khayal";2015 International Conference on Evaluation of Novel Approaches to Software Engineering (ENASE);20150;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7320330
1;A Pricing Model for Cloud Computing Service;"T. Keskin; N. Taskin";2014 47th Hawaii International Conference on System Sciences;20140;10.1109/HICSS.2014.94;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6758690
2;Price competition in a duopoly IaaS cloud market;"X. Li; B. Gu; C. Zhang; K. Yamori; Y. Tanaka";The 16th Asia-Pacific Network Operations and Management Symposium;20140;10.1109/APNOMS.2014.6996552;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6996552
3;An Anonymous Authentication System for Pay-As-You-Go Cloud Computing$^*$*;"J. Huang; W. Susilo; F. Guo; G. Wu; Z. Zhao; Q. Huang";IEEE Transactions on Dependable and Secure Computing;20220;10.1109/TDSC.2020.3007633;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9134823
4;Dynamic placement of virtual machines for cost optimization in multi-cloud environments;"J. L. L. Simarro; R. Moreno-Vozmediano; R. S. Montero; I. M. Llorente";2011 International Conference on High Performance Computing & Simulation;20110;10.1109/HPCSim.2011.5999800;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5999800
5;Amazon Elastic Compute Cloud (EC2) versus In-House HPC Platform: A Cost Analysis;"J. Emeras; S. Varrette; V. Plugaru; P. Bouvry";IEEE Transactions on Cloud Computing;20190;10.1109/TCC.2016.2628371;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7742995
6;Personality-Guided Cloud Pricing via Reinforcement Learning;"P. Cong; J. Zhou; M. Chen; T. Wei";IEEE Transactions on Cloud Computing;20220;10.1109/TCC.2020.2992461;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9086147
7;Pay as You Go in the Cloud: One Watt at a Time;"K. Teramoto; H. H. Huang";2012 SC Companion: High Performance Computing, Networking Storage and Analysis;20120;10.1109/SC.Companion.2012.318;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6496102
9;Cloud Pricing Models: A Survey and Position Paper;"A. Gohad; N. C. Narendra; P. Ramachandran";2013 IEEE International Conference on Cloud Computing in Emerging Markets (CCEM);20130;10.1109/CCEM.2013.6684430;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6684430
10;QoS Aware Heuristic Provisioning Approach for Cloud Spot Instances;"G. Mudali; D. S. Roy; K. H. K. Reddy";2017 International Conference on Information Technology (ICIT);20170;10.1109/ICIT.2017.59;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8423886
