Column1;Document Title;Authors;Publication Title;Publication Year;DOI;PDF Link
0;A survey of Cloud computing variable pricing models;"S. Arshad; S. Ullah; S. A. Khan; M. D. Awan; M. S. H. Khayal";2015 International Conference on Evaluation of Novel Approaches to Software Engineering (ENASE);20150;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7320330
1;A Pricing Model for Cloud Computing Service;"T. Keskin; N. Taskin";2014 47th Hawaii International Conference on System Sciences;20140;10.1109/HICSS.2014.94;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6758690
2;Price competition in a duopoly IaaS cloud market;"X. Li; B. Gu; C. Zhang; K. Yamori; Y. Tanaka";The 16th Asia-Pacific Network Operations and Management Symposium;20140;10.1109/APNOMS.2014.6996552;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6996552
5;Amazon Elastic Compute Cloud (EC2) versus In-House HPC Platform: A Cost Analysis;"J. Emeras; S. Varrette; V. Plugaru; P. Bouvry";IEEE Transactions on Cloud Computing;20190;10.1109/TCC.2016.2628371;https://ieeexplore.ieee.+I5org/stamp/stamp.jsp?arnumber=7742995
6;Personality-Guided Cloud Pricing via Reinforcement Learning;"P. Cong; J. Zhou; M. Chen; T. Wei";IEEE Transactions on Cloud Computing;20220;10.1109/TCC.2020.2992461;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9086147
7;Pay as You Go in the Cloud: One Watt at a Time;"K. Teramoto; H. H. Huang";2012 SC Companion: High Performance Computing, Networking Storage and Analysis;20120;10.1109/SC.Companion.2012.318;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6496102
9;Cloud Pricing Models: A Survey and Position Paper;"A. Gohad; N. C. Narendra; P. Ramachandran";2013 IEEE International Conference on Cloud Computing in Emerging Markets (CCEM);20130;10.1109/CCEM.2013.6684430;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6684430
10;QoS Aware Heuristic Provisioning Approach for Cloud Spot Instances;"G. Mudali; D. S. Roy; K. H. K. Reddy";2017 International Conference on Information Technology (ICIT);20170;10.1109/ICIT.2017.59;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8423886
12;CM Cloud Simulator: A Cost Model Simulator Module for Cloudsim;"D. C. Alves; B. G. Batista; D. M. L. Filho; M. L. Peixoto; S. Reiff-Marganiec; B. T. Kuehne";2016 IEEE World Congress on Services (SERVICES);20160;10.1109/SERVICES.2016.20;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7557402
13;Prediction-based resource allocation in clouds for media streaming applications;"A. Alasaad; K. Shafiee; S. Gopalakrishnan; V. C. M. Leung";2012 IEEE Globecom Workshops;20120;10.1109/GLOCOMW.2012.6477669;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6477669
