Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An Efficient Framework for Resource Allocation and Dynamic Pricing Scheme for Completion Time Failure in Cloud Computing","Advances in Networked-Based Information Systems","","","","10.1007/978-3-030-84913-9_13","Anjan BandyopadhyayVikash Kumar SinghSajal MukhopadhyayUjjwal RaiArghya Bandyopadhyay","2022","http://link.springer.com/chapter/10.1007/978-3-030-84913-9_13","Chapter"
"A Novel Approach to Dynamic Pricing for Cloud Computing Through Price Band Prediction","ICWE 2021 Workshops","","","","10.1007/978-3-030-92231-3_5","Dheeraj RaneVaishali ChoureyIshan Indraniya","2022","http://link.springer.com/chapter/10.1007/978-3-030-92231-3_5","Chapter"
"Decisions, Models and Opportunities in Cloud Computing Economics: A Review of Research on Pricing and Markets","Service Research and Innovation","","","","10.1007/978-3-319-07950-9_7","Sowmya KarunakaranVenkataraghavan KrishnaswamyR. P. Sundarraj","2014","http://link.springer.com/chapter/10.1007/978-3-319-07950-9_7","Chapter"
"The Reality and Future of the Secure Mobile Cloud Computing (SMCC): Survey","Big Data and Networks Technologies","","","","10.1007/978-3-030-23672-4_18","Samaher Al_JanabiNawras Yahya Hussein","2020","http://link.springer.com/chapter/10.1007/978-3-030-23672-4_18","Chapter"
"Exploration of Maximizing the Significance of Big Data in Cloud Computing","Emerging Trends in Computing and Expert Technology","","","","10.1007/978-3-030-32150-5_68","R. DhayaM. DeviR. KanthavelFahad AlgarniPooja Dixikha","2020","http://link.springer.com/chapter/10.1007/978-3-030-32150-5_68","Chapter"
"A Survey on Cloud Computing","Big Data Analytics","","","","10.1007/978-981-10-6620-7_16","Mohammad Ubaidullah BokhariQahtan MakkiYahya Kord Tamandani","2018","http://link.springer.com/chapter/10.1007/978-981-10-6620-7_16","Chapter"
"An Auction Framework for DaaS in Cloud Computing","Advances in Internet, Data & Web Technologies","","","","10.1007/978-3-319-75928-9_65","Anjan BandyopadhyayFatos XhafaSajal Mukhopadhyay","2018","http://link.springer.com/chapter/10.1007/978-3-319-75928-9_65","Chapter"
"Analyzing the Applicability of Airline Booking Systems for Cloud Computing Offerings","Data Driven e-Science","","","","10.1007/978-1-4419-8014-4_26","Johannes WatzlNils gentschen FeldeDieter Kranzlmuller","2011","http://link.springer.com/chapter/10.1007/978-1-4419-8014-4_26","Chapter"
"A Truthful Mechanism for Value-Based Scheduling in Cloud Computing","Algorithmic Game Theory","","","","10.1007/978-3-642-24829-0_17","Navendu JainIshai MenacheJoseph (Seffi) NaorJonathan Yaniv","2011","http://link.springer.com/chapter/10.1007/978-3-642-24829-0_17","Chapter"
"Do Clouds Compute? A Framework for Estimating the Value of Cloud Computing","Designing E-Business Systems. Markets, Services, and Networks","","","","10.1007/978-3-642-01256-3_10","Markus KlemsJens NimisStefan Tai","2009","http://link.springer.com/chapter/10.1007/978-3-642-01256-3_10","Chapter"
"An Interaction Balance Based Approach for Autonomic Performance Management in a Cloud Computing Environment","Adaptive Resource Management and Scheduling for Cloud Computing","","","","10.1007/978-3-319-13464-2_5","Rajat MehrotraSrishti SrivastavaIoana BanicescuSherif Abdelwahed","2014","http://link.springer.com/chapter/10.1007/978-3-319-13464-2_5","Chapter"
"Cloud Computing: Towards Making Computing a Utility","Intelligent Cloud Computing","","","","10.1007/978-3-319-19848-4_1","Mohamed Hefeeda","2015","http://link.springer.com/chapter/10.1007/978-3-319-19848-4_1","Chapter"
"A Healthcare Cloud Computing Strategic Planning Model","Computer Science and Convergence","","","","10.1007/978-94-007-2792-2_76","Kuo Mu-Hsing","2012","http://link.springer.com/chapter/10.1007/978-94-007-2792-2_76","Chapter"
"Resource Utilization Based Dynamic Pricing Approach on Cloud Computing Application","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-27161-3_61","Adrian JohannesPriyadarsi NandaXiangjian He","2015","http://link.springer.com/chapter/10.1007/978-3-319-27161-3_61","Chapter"
"Enabling Virtual Manufacturing Enterprises with Cloud Computing: An Analysis of Criteria for the Selection of Database as a Service Offers","Advances in Sustainable and Competitive Manufacturing Systems","","","","10.1007/978-3-319-00557-7_35","Ronny HansDavid DahlenSebastian ZöllerDieter SchullerUlrich Lampe","2013","http://link.springer.com/chapter/10.1007/978-3-319-00557-7_35","Chapter"
"Enabling Business-Preference-Based Scheduling of Cloud Computing Resources","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-319-61920-0_16","Azamat UzbekovJörn Altmann","2017","http://link.springer.com/chapter/10.1007/978-3-319-61920-0_16","Chapter"
"Click Here to Cloud: End User Issues in Cloud Computing Terms of Service Agreements","Challenges of Information Management Beyond the Cloud","","","","10.1007/978-3-662-44412-2_10","Tomas A. Lipinski","2014","http://link.springer.com/chapter/10.1007/978-3-662-44412-2_10","Chapter"
"A Game-Theoretical Approach to the Benefits of Cloud Computing","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-642-28675-9_11","Jörn KünsemöllerHolger Karl","2012","http://link.springer.com/chapter/10.1007/978-3-642-28675-9_11","Chapter"
"Structural Specification for the SLAs in Cloud Computing (S3LACC)","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-319-61920-0_4","Waheed Aslam GhummanAlexander Schill","2017","http://link.springer.com/chapter/10.1007/978-3-319-61920-0_4","Chapter"
